app	config	bytes	status
base64	Go	2275731	success
base64	TinyGo	96760	success
base64	LLGoNoLTO	1754437	success
base64	LLGoDeadcodeDrop	1048137	success
base64	LLGoFullLTONoGlobalDCE	1329535	success
base64	LLGoFullLTOGlobalDCE	940039	success
checksum	Go	2264417	success
checksum	TinyGo	92685	success
checksum	LLGoNoLTO	1732544	success
checksum	LLGoDeadcodeDrop	1021418	success
checksum	LLGoFullLTONoGlobalDCE	1307374	success
checksum	LLGoFullLTOGlobalDCE	911581	success
convolution	Go	2608089	success
convolution	TinyGo	201149	success
convolution	LLGoNoLTO	3061370	success
convolution	LLGoDeadcodeDrop	1834715	success
convolution	LLGoFullLTONoGlobalDCE	2531864	success
convolution	LLGoFullLTOGlobalDCE	1637769	success
fibonacci	Go	2230899	success
fibonacci	TinyGo	62386	success
fibonacci	LLGoNoLTO	1429553	success
fibonacci	LLGoDeadcodeDrop	943870	success
fibonacci	LLGoFullLTONoGlobalDCE	1142954	success
fibonacci	LLGoFullLTOGlobalDCE	851340	success
grep	Go	2848917	success
grep	TinyGo	303772	success
grep	LLGoNoLTO	2583183	success
grep	LLGoDeadcodeDrop	1743038	success
grep	LLGoFullLTONoGlobalDCE	2063262	success
grep	LLGoFullLTOGlobalDCE	1556509	success
glob	Go	2257634	success
glob	TinyGo	93153	success
glob	LLGoNoLTO	2014025	success
glob	LLGoDeadcodeDrop	1270363	success
glob	LLGoFullLTONoGlobalDCE	1590677	success
glob	LLGoFullLTOGlobalDCE	1153862	success
json-roundtrip	Go	3314587	success
json-roundtrip	TinyGo	493590	success
json-roundtrip	LLGoNoLTO	4569322	success
json-roundtrip	LLGoDeadcodeDrop	2830255	success
json-roundtrip	LLGoFullLTONoGlobalDCE	3705440	success
json-roundtrip	LLGoFullLTOGlobalDCE	2610646	success
llimport	Go	8423078	success
llimport	TinyGo	null	failed
llimport	LLGoNoLTO	35192152	success
llimport	LLGoDeadcodeDrop	33623702	success
llimport	LLGoFullLTONoGlobalDCE	11287502	success
llimport	LLGoFullLTOGlobalDCE	10566732	success
path-report	Go	2381190	success
path-report	TinyGo	116889	success
path-report	LLGoNoLTO	2366682	success
path-report	LLGoDeadcodeDrop	1614063	success
path-report	LLGoFullLTONoGlobalDCE	1930985	success
path-report	LLGoFullLTOGlobalDCE	1485257	success
sha256	Go	2780972	success
sha256	TinyGo	287449	success
sha256	LLGoNoLTO	3403623	success
sha256	LLGoDeadcodeDrop	2148131	success
sha256	LLGoFullLTONoGlobalDCE	2810672	success
sha256	LLGoFullLTOGlobalDCE	1915973	success
word-count	Go	2253620	success
word-count	TinyGo	86834	success
word-count	LLGoNoLTO	1973231	success
word-count	LLGoDeadcodeDrop	1242025	success
word-count	LLGoFullLTONoGlobalDCE	1533238	success
word-count	LLGoFullLTOGlobalDCE	1120036	success
